DESCRIPTION,CODE,(DIA),DRILL,(DRILL FRACTION),SLEEVE,(SLEEVE FRACTION),(DIA MM),DRILL MM,SLEEVE MM
6 SOL,6,0.162,0.166,0 -  11/64,0.375,0 -  3/8,[4.11],[4.20],[10.00]
8 SOL,8,0.128,0.136,0 -  9/64,0.313,0 -  5/16,[3.25],[3.40],[8.00]
9 SOL,9,0.114,0.120,0 -  1/8,0.313,0 -  5/16,[2.90],[3.00],[8.00]
10 SOL,1A,0.102,0.106,0 -  7/64,0.313,0 -  5/16,[2.59],[2.70],[8.00]
10 CONC,1B,0.116,0.120,0 -  1/8,0.313,0 -  5/16,[2.95],[3.00],[8.00]
8 SOL,1D,0.128,0.136,0 -  9/64,0.313,0 -  5/16,[3.25],[3.40],[8.00]
8 CONC,1E,0.146,0.152,0 -  5/32,0.344,0 -  11/32,[3.71],[3.80],[9.00]
6 SOL,1G,0.162,0.166,0 -  11/64,0.375,0 -  3/8,[4.11],[4.20],[10.00]
6 CONC,1H,0.184,0.188,0 -  3/16,0.375,0 -  3/8,[4.67],[4.75],[10.00]
4 SOL,1K,0.204,0.209,0 -  13/64,0.406,0 -  13/32,[5.18],[5.30],[10.00]
4 CONC,1L,0.232,0.238,0 -  15/64,0.438,0 -  7/16,[5.89],[6.00],[11.00]
3 SOL,1P,0.229,0.234,0 -  15/64,0.438,0 -  7/16,[5.82],[5.90],[11.00]
3 CONC,1Q,0.260,0.266,0 -  17/64,0.469,0 -  15/32,[6.60],[6.75],[12.00]
2 SOL,1T,0.257,0.266,0 -  17/64,0.469,0 -  15/32,[6.53],[6.75],[12.00]
2 CONC,1V,0.292,0.302,0 -  19/64,0.500,0 -  1/2,[7.42],[7.70],[13.00]
1 SOL,1X,0.289,0.297,0 -  19/64,0.500,0 -  1/2,[7.34],[7.50],[13.00]
1 CONC,1Y,0.332,0.344,0 -  11/32,0.563,0 -  9/16,[8.43],[8.75],[14.00]
1/0 SOL,2B,0.324,0.328,0 -  21/64,0.531,0 -  17/32,[8.23],[8.30],[13.00]
1/0 CONC,2C,0.373,0.386,0 -  25/64,0.594,0 -  19/32,[9.47],[9.80],[15.00]
"1/0X3,12,27STR",2D,0.394,0.406,0 -  13/32,0.625,0 -  5/8,[10.01],[10.50],[16.00]
2/0 SOL,2F,0.365,0.368,0 -  3/8,0.594,0 -  19/32,[9.27],[9.35],[15.00]
2/0 CONC,2G,0.418,0.422,0 -  27/64,0.656,0 -  21/32,[10.62],[11.00],[17.00]
2/0 RLAY W/S429F2J16,2J,0.528,0.531,0 -  17/32,0.781,0 -  25/32,[13.41],[13.50],[20.00]
3/0 SOL,2K,0.409,0.413,0 -  13/32,0.625,0 -  5/8,[10.39],[10.50],[16.00]
3/0 CONC,2L,0.470,0.484,0 -  31/64,0.719,0 -  23/32,[11.94],[12.00],[18.00]
4/0 SOL,2P,0.460,0.469,0 -  15/32,0.688,0 -  11/16,[11.68],[12.00],[17.00]
4/0 CONC,2Q,0.528,0.531,0 -  17/32,0.781,0 -  25/32,[13.41],[13.50],[20.00]
"4/0X3,12,27STR",2R,0.545,0.563,0 -  9/16,0.781,0 -  25/32,[13.84],[14.50],[20.00]
250KCM SOL,2T,0.500,0.516,0 -  33/64,0.750,0 -  3/4,[12.70],[13.00],[19.00]
250KCM CONC,2V,0.575,0.594,0 -  19/32,0.813,0 -  13/16,[14.61],[15.00],[21.00]
300KCM SOL,2Y,0.547,0.563,0 -  9/16,0.781,0 -  25/32,[13.89],[14.00],[20.00]
300KCM CONC,3A,0.630,0.641,0 -  41/64,0.875,0 -  7/8,[16.00],[16.25],[22.00]
350KCM CONC,3D,0.681,0.703,0 -  45/64,0.938,0 -  15/16,[17.30],[17.50],[24.00]
400KCM CONC,3H,0.728,0.750,0 -  3/4,1.000,-1,[18.49],[19.00],[25.00]
500KCM CONC,3Q,0.813,0.828,0 -  53/64,1.125,1 -  1/8,[20.65],[21.00],[29.00]
500KCM COMPT,3QC,0.736,0.750,0 -  3/4,1.000,-1,[18.69],[19.00],[25.00]
600KCM CONC,3X,0.893,0.906,0 -  29/32,1.188,1 -  3/16,[22.68],[23.00],[30.00]
5 CONC,3Y,0.220,0.228,0 -  15/64,0.438,0 -  7/16,[5.59],[5.75],[11.00]
700MM2 CONC,4G,0.968,0.969,0 -  31/32,1.250,1 -  1/4,[24.59],[25.00],[32.00]
750KCM CONC,4L,0.998,1.016,1 -  1/64,1.375,1 -  3/8,[25.35],[26.00],[35.00]
1000KCM CONC,4Y,1.152,1.172,1 -  11/64,1.500,1 -  1/2,[29.26],[30.00],[38.00]
1250KCM CONC,5J,1.290,1.313,1 -  5/16,1.625,1 -  5/8,[32.77],[33.50],[41.00]
1500KCM CONC,5T,1.412,1.422,1 -  27/64,1.750,1 -  3/4,[35.86],[36.00],[44.00]
1750KCM CONC,6B,1.546,1.547,1 -  35/64,1.875,1 -  7/8,[39.27],[39.50],[48.00]
2000KCM CONC,6H,1.612,1.641,1 -  41/64,2.000,-2,[40.94],[42.00],[51.00]
AA14 CW,7N,0.350,0.359,0 -  23/64,0.563,0 -  9/16,[8.89],[9.25],[14.00]
AA22 CW,7P,0.450,0.469,0 -  15/32,0.688,0 -  11/16,[11.43],[12.00],[17.00]
AA28 CW,7R,0.490,0.500,0 -  1/2,0.719,0 -  23/32,[12.45],[13.00],[18.00]
AA44 CW,7S,0.630,0.641,0 -  41/64,0.875,0 -  7/8,[16.00],[16.25],[22.00]
AA73 CW,7T,0.800,0.813,0 -  13/16,1.063,1 -  1/16,[20.32],[20.50],[27.00]
AA101CW,7V,0.960,0.969,0 -  31/32,1.250,1 -  1/4,[24.38],[24.75],[32.00]
37/#9 CW,7W,0.801,0.828,0 -  53/64,1.063,1 -  1/16,[20.35],[21.00],[27.00]
3/#9 CW,7X,0.247,0.250,0 -  1/4,0.469,0 -  15/32,[6.27],[6.40],[12.00]
3/#10 CW,7Y,0.220,0.228,0 -  15/64,0.438,0 -  7/16,[5.59],[5.75],[11.00]
A LC,8A,0.257,0.266,0 -  17/64,0.469,0 -  15/32,[6.53],[6.75],[12.00]
B LC,8B,0.324,0.328,0 -  21/64,0.531,0 -  17/32,[8.23],[8.40],[13.00]
C LC,8C,0.418,0.422,0 -  27/64,0.656,0 -  21/32,[10.62],[11.00],[17.00]
D LC,8D,0.470,0.484,0 -  31/64,0.719,0 -  23/32,[11.94],[12.50],[18.00]
E LC,8E,0.486,0.500,0 -  1/2,0.719,0 -  23/32,[12.34],[13.00],[18.00]
F LC,8F,0.500,0.516,0 -  33/64,0.750,0 -  3/4,[12.70],[13.00],[19.00]
G LC,8G,0.528,0.531,0 -  17/32,0.781,0 -  25/32,[13.41],[13.50],[20.00]
H LC,8H,0.542,0.547,0 -  35/64,0.781,0 -  25/32,[13.77],[14.00],[20.00]
J LC,8J,0.604,0.609,0 -  39/64,0.844,0 -  27/32,[15.34],[15.50],[21.00]
K LC,8K,0.630,0.641,0 -  41/64,0.875,0 -  7/8,[16.00],[16.50],[22.00]
L LC,8L,0.681,0.703,0 -  45/64,0.938,0 -  15/16,[17.30],[18.00],[24.00]
N LC  ,8N,0.354,0.368,0 -  3/8,0.594,0 -  19/32,[8.99],[9.10],[15.00]
7/#10 CW,9A,0.306,0.313,0 -  5/16,0.531,0 -  17/32,[7.77],[8.00],[13.00]
7/#8 CW,9B,0.385,0.391,0 -  25/64,0.625,0 -  5/8,[9.78],[10.00],[16.00]
7/#7 CW,9C,0.433,0.438,0 -  7/16,0.656,0 -  21/32,[11.00],[11.50],[17.00]
7/#6 CW,9D,0.486,0.500,0 -  1/2,0.719,0 -  23/32,[12.34],[12.50],[18.00]
7/#5 CW,9E,0.546,0.563,0 -  9/16,0.781,0 -  25/32,[13.87],[14.50],[20.00]
19/#9 CW,9F,0.572,0.578,0 -  37/64,0.813,0 -  13/16,[14.53],[15.00],[21.00]
19/#8 CW,9G,0.642,0.656,0 -  21/32,0.906,0 -  29/32,[16.31],[16.50],[23.00]
19/#7 CW,9H,0.721,0.734,0 -  47/64,1.000,-1,[18.31],[18.50],[25.00]
19/#6 CW,9J,0.810,0.828,0 -  53/64,1.125,1 -  1/8,[20.57],[21.00],[29.00]
19/#5 CW,9K,0.910,0.922,0 -  59/64,1.188,1 -  3/16,[23.11],[23.50],[30.00]
7/#4 CW,9L,0.613,0.625,0 -  5/8,0.875,0 -  7/8,[15.57],[16.00],[22.00]
37/#7 CW,9M,1.010,1.016,1 -  1/64,1.375,1 -  3/8,[25.65],[26.00],[35.00]
19/.126 CW,9N,0.630,0.641,0 -  41/64,0.875,0 -  7/8,[16.00],[16.50],[22.00]
19/.140 CW,9P,0.700,0.719,0 -  23/32,0.969,0 -  31/32,[17.78],[18.00],[25.00]
19/.152 CW,9Q,0.760,0.781,0 -  25/32,1.031,1 -  1/32,[19.30],[19.50],[26.00]
19/.177 CW,9R,0.885,0.891,0 -  57/64,1.188,1 -  3/16,[22.48],[23.00],[30.00]
19/.195 CW,9S,0.975,0.984,0 -  63/64,1.250,1 -  1/4,[24.77],[25.00],[32.00]
7/#9 CW,9T,0.343,0.348,0 -  11/32,0.563,0 -  9/16,[8.71],[8.90],[14.00]
3/#5 CW,9V,0.392,0.404,0 -  13/32,0.625,0 -  5/8,[9.96],[10.50],[16.00]
3/#6 CW,9W,0.349,0.359,0 -  23/64,0.563,0 -  9/16,[8.86],[9.10],[14.00]
3/#7 CW,9X,0.311,0.316,0 -  5/16,0.531,0 -  17/32,[7.90],[8.10],[13.00]
3/#8 CW,9Y,0.277,0.281,0 -  9/32,0.500,0 -  1/2,[7.04],[7.20],[13.00]
30MM2 CONC,A6,0.276,0.281,0 -  9/32,0.500,0 -  1/2,[7.01],[7.20],[13.00]
6MM2 CONC,A7,0.126,0.136,0 -  9/64,0.313,0 -  5/16,[3.19],[3.40],[8.00]
22MM2 CONC,A8,0.236,0.242,0 -  15/64,0.438,0 -  7/16,[5.99],[6.20],[11.00]
14MM2 CONC,B0,0.189,0.193,0 -  3/16,0.406,0 -  13/32,[4.80],[4.90],[10.00]
75MM2 CONC,B4,0.438,0.453,0 -  29/64,0.656,0 -  21/32,[11.13],[11.50],[17.00]
5.5MM2 CONC,B5,0.118,0.120,0 -  1/8,0.313,0 -  5/16,[3.00],[3.10],[8.00]
38MM2 CONC,D5,0.315,0.323,0 -  21/64,0.531,0 -  17/32,[8.00],[8.20],[13.00]
200MM2 CONC,D7,0.717,0.734,0 -  47/64,0.969,0 -  31/32,[18.21],[18.50],[25.00]
8MM2 CONC,E0,0.142,0.144,0 -  9/64,0.344,0 -  11/32,[3.61],[3.75],[9.00]
40MM2 CONC,E5,0.322,0.328,0 -  21/64,0.531,0 -  17/32,[8.18],[8.40],[13.00]
4MM2 SOL,G9,0.098,0.101,0 -  3/32,0.281,0 -  9/32,[2.49],[2.55],[7.00]
6MM2 SOL,H5,0.122,0.125,0 -  1/8,0.313,0 -  5/16,[3.10],[3.20],[8.00]
60MM2 CONC,L9,0.394,0.406,0 -  13/32,0.625,0 -  5/8,[10.00],[10.50],[16.00]
12.8MM GRD WIRE,P128,0.504,0.516,0 -  33/64,0.813,0 -  13/16,[12.80],[13.00],[21.00]
17.3MM GRD WIRE,P173,0.680,0.688,0 -  11/16,1.031,1 -  1/32,[17.27],[17.50],[26.00]
18MM GRD WIRE,P180,0.710,0.719,0 -  23/32,1.063,1 -  1/16,[18.03],[18.50],[27.00]
500MM2 CONC,P9,1.130,1.141,1 -  9/64,1.375,1 -  3/8,[28.70],[29.00],[35.00]
850MM2 CONC,Q1,1.480,1.500,1 -  1/2,1.875,1 -  7/8,[37.59],[38.00],[48.00]
725MM2 CONC,R0,1.390,1.406,1 -  13/32,1.750,1 -  3/4,[35.31],[35.50],[44.00]
80MM2 CONC,R4,0.453,0.469,0 -  15/32,0.688,0 -  11/16,[11.51],[12.00],[17.00]
125MM2 CONC,R6,0.571,0.578,0 -  37/64,0.813,0 -  13/16,[14.50],[14.75],[21.00]
