PART,PC Code,PC  dia,SC code,SC Dia,Same,Cond average,Primary cable desc,Secondary Cable desc,W/M,PLUS,
SSCA7,A7s,0.202,A7s,0.202,TRUE,0.202,6MM2 CONC W/B1331K,6MM2 CONC W/B1331K,C2532(25),25PLUSF20,
SSC1B,1Bs,0.202,1Bs,0.202,TRUE,0.202,10 CONC W/B1331K,10 CONC W/B1331K,C2532(25),25PLUSF20,
SSC1K1L,1K,0.204,1L,0.232,FALSE,0.218,4 SOL,4 CONC,C2532(25),25PLUSF20,
SSC1L,1L,0.232,1L,0.232,TRUE,0.232,4 CONC,4 CONC,C2532(25),25PLUSF20,
SSC1E,1Es,0.232,1Es,0.232,TRUE,0.232,8 CONC W/B1331L,8 CONC W/B1331L,C2532(25),25PLUSF20,
SSC1H,1Hs,0.274,1Hs,0.274,TRUE,0.274,6 CONC W/B112,6 CONC W/B112,C2532(25),25PLUSF20,
SSCW2,W2s,0.274,W2s,0.274,TRUE,0.274,10MM2 CONC W/B112,10MM2 CONC W/B112,C2532(25),25PLUSF20,
SSCG8,G8,0.156,G8,0.156,TRUE,0.156,3.5MM2 CONC W/B1331H,3.5MM2 CONC W/B1331H,C25321(25),25PLUSF20,
SSCA8,A8,0.236,A8,0.236,TRUE,0.236,22MM2 CONC,22MM2 CONC,C25321(25),25PLUSF20,
SSCW3,W3,0.204,W3,0.204,TRUE,0.204,16MM2 CONC,16MM2 CONC,C2532(32),32PLUSF20,
SSC1T1V,1T,0.257,1V,0.292,FALSE,0.275,2 SOL,2 CONC,C2532(32),32PLUSF20,
SSC1Q,1Q,0.260,1Q,0.260,TRUE,0.260,3 CONC,3 CONC,C2532(32),32PLUSF20,
SSCY1,Y1,0.260,Y1,0.260,TRUE,0.260,25MM2 CONC,25MM2 CONC,C2532(32),32PLUSF20,
SSCY2C,Y2C,0.272,Y2C,0.272,TRUE,0.272,35MM2 COMPT,35MM2 COMPT,C2532(32),32PLUSF20,
SSC1V,1V,0.292,1V,0.292,TRUE,0.292,2 CONC,2 CONC,C2532(32),32PLUSF20,
SSC1V1H,1V,0.292,1Hs,0.274,FALSE,0.283,2 CONC,6 CONC W/B112,C2532(32),32PLUSF20,
SSC1V1L,1V,0.292,1L,0.232,FALSE,0.262,2 CONC,4 CONC,C2532(32),32PLUSF20,
SSC1V1T,1V,0.292,1T,0.257,FALSE,0.275,2 CONC,2 SOL,C2532(32),32PLUSF20,
SSC1V1G,1V,0.292,1Gs,0.232,FALSE,0.262,2 CONC,6 SOL W/B1331L,C2532(32),32PLUSF20,
SSCY2,Y2,0.305,Y2,0.305,TRUE,0.305,35MM2 CONC,35MM2 CONC,C2532(32),32PLUSF20,
SSC1Y,1Y,0.332,1Y,0.332,TRUE,0.332,1 CONC,1 CONC,C2532(32),32PLUSF20,
SSCS1,S1,0.334,S1,0.334,TRUE,0.334,#4 COMPOSITE,#4 COMPOSITE,C2532(32),32PLUSF20,
SSCS11L,S1,0.334,1L,0.232,FALSE,0.283,#4 COMPOSITE,4 CONC,C2532(32),32PLUSF20,
SSC1H1Y,1H,0.184,1Y,0.332,FALSE,0.258,6 CONC,1 CONC,C25321(32),32PLUSF20,
SSCY1C,Y1C,0.228,Y1C,0.228,TRUE,0.228,,,C25321(32),32PLUSF20,
SSCY11L,Y1,0.260,1L,0.232,FALSE,0.246,25MM2 CONC,4 CONC,C25321(32),32PLUSF20,
SSC1V1Y,1V,0.292,1Y,0.332,FALSE,0.312,2 CONC,1 CONC,C25321(32),32PLUSF20,
SSCD5,D5,0.315,D5,0.315,TRUE,0.315,38MM2 CONC,38MM2 CONC,C25321(32),32PLUSF20,
SSCY2Y3,Y2,0.305,Y3,0.354,FALSE,0.330,35MM2 CONC,50MM2 CONC,45,45PLUSF20,
SSCY3,Y3,0.354,Y3,0.354,TRUE,0.354,50MM2 CONC,50MM2 CONC,45,45PLUSF20,
SSCY3Y1,Y3,0.354,Y1,0.260,FALSE,0.307,50MM2 CONC,25MM2 CONC,45,45PLUSF20,
SSCY3Y2,Y3,0.354,Y2,0.305,FALSE,0.330,50MM2 CONC,35MM2 CONC,45,45PLUSF20,
SSC2C1H,2C,0.373,1Hs,0.274,FALSE,0.324,1/0 CONC,6 CONC W/B112,45,45PLUSF20,
SSC2C1L,2C,0.373,1L,0.232,FALSE,0.303,1/0 CONC,4 CONC,45,45PLUSF20,
SSC2C1V,2C,0.373,1V,0.292,FALSE,0.333,1/0 CONC,2 CONC,45,45PLUSF20,
SSC2C,2C,0.373,2c,0.373,TRUE,0.373,1/0 CONC,1/0 CONC,45,45PLUSF20,
SSC2G1H,2G,0.418,1Hs,0.274,FALSE,0.346,2/0 CONC,6 CONC W/B112,45,45PLUSF20,
SSC2G1V,2G,0.418,1V,0.292,FALSE,0.355,2/0 CONC,2 CONC,45,45PLUSF20,
SSC1H5,1Hs,0.274,5,0.390,FALSE,0.332,6 CONC W/B112,3/16 SIGNAL W/SBS09C,451,45PLUSF20,
SSC7N,7N,0.350,7N,0.350,TRUE,0.350,AA14 CW,AA14 CW,451,45PLUSF20,
SSCY4C,Y4C,0.386,Y4C,0.386,TRUE,0.386,70MM2 COMPT,70MM2 COMPT,65,65PLUSF20,
SSCL9,L9,0.394,L9,0.394,TRUE,0.394,60MM2 CONC,60MM2 CONC,65,65PLUSF20,
SSC2G,2G,0.418,2G,0.418,TRUE,0.418,2/0 CONC,2/0 CONC,65,65PLUSF20,
SSC2G2C,2G,0.418,2C,0.373,FALSE,0.396,2/0 CONC,1/0 CONC,65,65PLUSF20,
SSCY4,Y4,0.430,Y4,0.430,TRUE,0.430,70MM2 CONC,70MM2 CONC,65,65PLUSF20,
SSCY4Y1,Y4,0.430,Y1,0.260,FALSE,0.345,70MM2 CONC,25MM2 CONC,65,65PLUSF20,
SSCY4Y2,Y4,0.430,Y2,0.305,FALSE,0.368,70MM2 CONC,35MM2 CONC,65,65PLUSF20,
SSCY4Y3,Y4,0.430,Y3,0.354,FALSE,0.392,70MM2 CONC,50MM2 CONC,65,65PLUSF20,
SSC2L1V,2L,0.470,1V,0.292,FALSE,0.381,3/0 CONC,2 CONC,65,65PLUSF20,
SSC2Q1H,2Q,0.528,1Hs,0.274,FALSE,0.401,4/0 CONC,6 CONC W/B112,65,65PLUSF20,
SSC2Q1L,2Q,0.528,1L,0.232,FALSE,0.380,4/0 CONC,4 CONC,65,65PLUSF20,
SSC1L2Q,1L,0.232,2Q,0.528,FALSE,0.380,4 CONC,4/0 CONC,652,65PLUSF20,
SSC2G2Q,2G,0.418,2Q,0.528,FALSE,0.473,2/0 CONC,4/0 CONC,90,90PLUSF20,
SSC2L,2L,0.470,2L,0.470,TRUE,0.470,3/0 CONC,3/0 CONC,90,90PLUSF20,
SSC2L2C,2L,0.470,2C,0.373,FALSE,0.422,3/0 CONC,1/0 CONC,90,90PLUSF20,
SSC2L2G,2L,0.470,2G,0.418,FALSE,0.444,3/0 CONC,2/0 CONC,90,90PLUSF20,
SSCY5,Y5,0.505,Y5,0.505,TRUE,0.505,95MM2 CONC,95MM2 CONC,90,90PLUSF20,
SSCS52Q,S5,0.526,2Q,0.528,FALSE,0.527,2/0 COMPOSITE,4/0 CONC,90,90PLUSF20,
SSC2Q,2Q,0.528,2Q,0.528,TRUE,0.528,4/0 CONC,4/0 CONC,90,90PLUSF20,
SSC2Q1V,2Q,0.528,1V,0.292,FALSE,0.410,4/0 CONC,2 CONC,90,90PLUSF20,
